TimeStamp,ch1,ch2,ch3,ch4
1213267.3826,5825.95,34644.18,35025.27,36217.03
1213267.3866,5816.98,34648.47,35022.45,36212.35
1213267.3906,5808.35,34647.71,35018.97,36206.96
1213267.3946,5812.07,34648.52,35018.83,36206.63
1213267.3986,5806.73,34653.91,35024.6,36212.97
1213267.4026,5781.56,34650.9,35018.4,36205.68
1213267.4066,5787.42,34649.52,35014.11,36197.95
1213267.4104,5803.73,34640.94,35014.87,36198.62
1213267.4144,5811.98,34655.53,35024.6,36205.82
1213267.4184,5817.46,34672.17,35039.81,36218.79
1213267.4224,5814.36,34678.22,35047.25,36223.32
1213267.4264,5821.99,34682.85,35052.49,36226.23
1213267.4304,5820.42,34684.04,35051.87,36222.27
1213267.4344,5822.52,34701.97,35062.27,36233.57
1213267.4384,5828.19,34682.13,35058.07,36233.38
1213267.4424,5840.59,34684.95,35055.78,36231.95
1213267.4464,5832.63,34679.08,35046.49,36222.99
1213267.4504,5826.19,34643.23,35021.79,36198.91
1213267.4544,5819.13,34640.13,35015.02,36190.04
1213267.4584,5817.32,34644.7,35013.16,36188.99
1213267.4624,5823.99,34638.36,35013.78,36191.9
1213267.4664,5831.0,34646.04,35023.03,36203.48
1213267.4704,5837.73,34661.63,35036.23,36217.26
1213267.4744,5834.15,34657.01,35027.13,36207.63
1213267.4784,5823.57,34654.38,35023.22,36205.58
1213267.4824,5814.98,34645.04,35021.31,36203.53
1213267.4864,5818.08,34645.51,35021.64,36201.05
1213267.4904,5819.85,34632.02,35012.25,36188.8
1213267.4944,5817.37,34624.39,35004.43,36179.98
1213267.4984,5830.91,34627.73,35006.34,36179.93
1213267.5024,5836.06,34629.54,35009.58,36183.55
1213267.5064,5840.35,34634.79,35016.73,36190.18
1213267.5104,5839.16,34636.88,35016.68,36193.8
1213267.5144,5841.54,34651.52,35023.36,36197.81
1213267.5184,5832.01,34648.47,35016.25,36191.75
1213267.5224,5819.85,34631.4,35005.53,36181.36
1213267.5264,5819.23,34629.87,35003.86,36178.88
1213267.5304,5815.22,34626.06,35002.43,36174.97
1213267.5344,5821.13,34637.98,35008.39,36179.26
1213267.5384,5821.13,34635.64,35006.86,36177.4
1213267.5421,5814.17,34623.2,35001.57,36172.2
1213267.5461,5820.94,34627.2,35007.05,36178.12
1213267.5501,5815.94,34615.52,34997.37,36168.06
1213267.5541,5803.54,34607.46,34991.7,36161.86
1213267.5581,5800.77,34609.99,34994.61,36163.57
1213267.5621,5811.55,34620.96,34999.57,36166.91
1213267.5661,5795.67,34609.13,34998.18,36164.19
1213267.5701,5784.7,34609.04,34996.23,36162.09
1213267.5741,5771.3,34603.65,34984.69,36153.37
1213267.5781,5769.68,34596.59,34984.31,36155.75
1213267.5821,5773.35,34600.55,34986.83,36157.9
1213267.5861,5785.61,34612.14,34996.56,36167.34
1213267.5901,5788.71,34628.59,35007.19,36175.02
1213267.5941,5787.52,34634.83,35009.63,36177.07
1213267.5981,5778.93,34611.52,34997.61,36168.91
1213267.6021,5770.11,34596.97,34981.25,36153.61
1213267.6061,5766.3,34594.16,34975.25,36145.83
1213267.6101,5771.45,34597.73,34977.96,36146.41
1213267.6141,5776.6,34603.55,34975.91,36145.6
